Abielluma;kellega?;Mart abiellus Piretiga.;Жениться/Выйти замуж;To marry;Evlənmək
Aitama;1) keda? 2) millest? kellest? 3) (kellel?+) da-infinitiiv;1) Lapsed aitavad õpetajat. 2) Aitab jutust! 3) Tütar aitab (emal) koristada.;Помогать;To help;Kömək etmək
Ajama;kuhu?;Ajasin auto garaaži.;Гнать/Вести;To drive/Force;Sürmək/Qovmaq
Andestama;kellele?;Tanel andestas sõbrale.;Прощать;To forgive;Bağışlamaq
Andma;kellele?;Anna vihik mulle.;Давать;To give;Vermək
Armastama;1) keda? mida? 2) da-infinitiiv;1) Katrin armastab oma meest. 2) Pille armastab ujuda.;Любить;To love;Sevmək
Armuma;kellesse? millesse?;Sandra armus luuletajasse.;Влюбляться;To fall in love;Aşiq olmaq
Arutama;mida?;Poliitikud arutavad uut plaani.;Обсуждать;To discuss;Müzakirə etmək
Asendama;1) keda? mida? 2) objekt + kellega? millega?;1) kas sa saad mind asendada? 2) Üks võistleja asendati teisega.;Заменять;To replace;Əvəz etmək
Astuma;kuhu?;Rein astus ülikooli.;Поступать/Входить;To step/Enter;Daxil olmaq/Girmək
Asuma;kus?;Kolledž asub Narvas.;Находиться;To be located;Yerləşmək
Austama;keda? mida?;Fännid austavad sportlast.;Уважать;To respect;Hörmət etmək
Eeldama;(kellelt? +) mida?;Ülemus eeldas (töötajatelt) suurepärast tulemust.;Ожидать/Предполагать;To expect/Assume;Gözləmək/Fərz etmək
Eelistama;keda? mida? (+ kellele? millele?);Eelistan teed (kohvile).;Предпочитать;To prefer;Üstünlük vermək
Eksima;1) kus? 2) kelles? 3) millega? 4) mille vastu?;1) Ta eksis võõras linnas ära. 2) Ma eksisin sinus. 3) Te eksisite numbriga. 4) Ta eksis seaduse vastu.;Ошибаться/Заблудиться;To make a mistake/Get lost;Yanılmaq/Azmaq
Erinema;kellest? millest?;Tüdruk erines oma sõpradest.;Отличаться;To differ;Fərqlənmək
Esindama;keda? mida? (+kus?);Jooksja esindas oma kodumaad (olümpiamängudel).;Представлять;To represent;Təmsil etmək
Haigestuma;millesse?;Laps haigestus grippi.;Заболеть;To fall ill;Xəstələnmək
Haisema;mille järele?;Garaažis haises bensiini järele.;Вонюче пахнуть;To stink/Smell bad;Pis qoxumaq
Hakkama;1) ma-infinitiiv 2) kelleks?;1) Kertu hakkas joonistama. 2) Kristjan hakkas korvpalluriks.;Начинать/Становиться;To begin/Become;Başlamaq/Olmaq
Harjuma;1) ma-infinitiiv 2) kellega? millega?;1) Rain on harjunud kaua magama. 2) Koer harjus lapsega kiiresti.;Привыкать;To get used to;Öyrəşmək
Harrastama;mida?;Laura harrastab tennist.;Увлекаться;To pursue/Practice;Məşğul olmaq/Həvəs göstərmək
Helistama;1) kuhu? 2) kellele?;1) Helista kiirabisse. 2) Kalle helistas ülemusele.;Звонить;To call;Zəng etmək
Hilinema;1) kuhu? 2) ma-infinitiiv;1) Peeter hilines teatrisse. 2) Mart hilines sööma.;Опаздывать;To be late;Gecikmək
Hindama;keda? mida?;Sander hindab head seltskonda.;Ценить;To value/Appreciate;Qiymətləndirmək
Hoidma;keda? mida?;Ta hoiab käes pastakat.;Держать/Хранить;To hold/Keep;Tutmaq/Saxlamaq
Hoolima;kellest? millest?;Linda hoolib loodusest.;Заботиться;To care;Qayğı göstərmək
Huvituma;kellest? millest?;Martin huvitub autodest.;Интересоваться;To be interested;Maraqlanmaq
Hüüdma;1) keda? mida? +kelleks? milleks? 2) objekt + kuhu? 3) objekt + ma-infinitiiv;1) Juhanit hüütakse Jukuks. 2) Ema hüüdis lapsi tuppa. 3) Ema hüüdis lapsi sööma.;Звать/Кричать;To call/Shout;Çağırmaq/Qışqırmaq
Igatsema;1) keda? mida? 2) kelle/mille järele?;1) Poiss igatses oma sõpra. 2) Suvepäeval igatses laps jäätise järele.;Скучать/Тосковать;To miss/Yearn;Darıxmaq/Həsrətində olmaq
Imestama;kelle/mille üle?;Õpilane imestas heade eksamitulemuste üle.;Удивляться;To be surprised/Wonder;Təəccüblənmək
Imetlema;keda? mida?;Tüdruk imetles kaunist loodust.;Восхищаться;To admire;Heyran olmaq
Investeerima;millesse?;Mart investeeris aktsiatesse.;Инвестировать;To invest;İnvestisiya etmək
Jagama;1) objekt + kuhu? 2) objekt + kellele/kelle vahel? 3) objekt + milleks? 4) objekt + millega?;1) Jaga sõnad kahte rühma. 2) Isa jagas kommid lastele/laste vahel. 3) Raamat on jagatud peatükkideks. 4) Jaga neli kahega.;Делить/Распределять;To divide/Share;Bölmək/Paylamaq
Juhendama;keda?;Õpetaja juhendab õpilasi.;Руководить/Инструктировать;To guide/Instruct;Rəhbərlik etmək/Təlimatlandırmaq
Jutustama;1) kellele? + objekt 2) (kellele?) millest?;1) Ma jutustan sulle ühe loo. 2) Vanaema jutustas lapselapsele vanast ajast.;Рассказывать;To tell/Narrate;Danışmaq/Nəql etmək
Jätkama;mida?;Pärast lõunat jätkasime tööd.;Продолжать;To continue;Davam etmək
Kahtlema;kelles? milles?;Ma kahtlen tema aususes.;Сомневаться;To doubt;Şübhələnmək
Kaitsma;1) keda? mida? 2) mille eest?;1) Advokaat kaitses oma klienti. 2) Vihmavari kaitseb vihma eest.;Защищать;To protect/Defend;Müdafiə etmək
Kartma;1) keda? mida? 2) da-infinitiiv;1) Laps kardab koera. 2) Ma kardan alla vaadata.;Бояться;To fear/Be afraid;Qorxmaq
Kasutama;mida?;Kasutan iga päev arvutit.;Использовать;To use;İstifadə etmək
Kavatsema;da-infinitiiv;Kavatsen täna palju lugeda.;Намереваться;To intend;Niyyətində olmaq
Keelama;1) keda? 2) (kellel?+) da-infinitiiv;1) Õpetaja keelas poisse. 2) Arst keelas (haigel) voodist tõusta.;Запрещать;To forbid/Prohibit;Qadağan etmək
Kiirustama;1) kuhu? 2) ma-infinitiiv 3) millega?;1) Ema kiirustas poodi. 2) Lapsed kiirustasid sööma. 3) Abiellumisega ei tasu kiirustada.;Спешить;To hurry/Rush;Tələsmək
Kiitma;keda? (+mille eest?);Õpetaja kiitis õpilasi hea töö eest.;Хвалить;To praise;Tərifləmək
Kinkima;kellele? + objekt;Mees kinkis naisele jalgratta.;Дарить;To gift;Hədiyyə etmək
Kirjutama;1) kellele? 2) millest? 3) millega?;1) Sõber kirjutab mulle. 2) See kirjanik kirjutab armastusest. 3) Liisa kirjutab pliiatsiga.;Писать;To write;Yazmaq
Koguma;mida?;Paljud inimesed koguvad marke.;Собирать;To collect/Gather;Toplamaq
Kohtama;keda?;Kohtasin tänaval sõpra.;Встречать (случайно);To meet (by chance);Rast gəlmək
Kohtuma;kellega?;Kirjanik kohtus lugejatega.;Встречаться;To meet;Görüşmək
Koosnema;millest?;Morss koosneb veest ja mahlast.;Состоять;To consist;İbarət olmaq
Kulutama;millele? / mille peale?;Toomas kulutab liiga palju raha õllele / õlle peale.;Тратить;To spend;Xərcləmək
Kutsuma;1) objekt + kuhu? 2) objekt + ma-infinitiiv 3) keda? + kelleks?;1) Kutsusin sõbra kinno. 2) Kutsusin sõbra tantsima. 3) Kutsun koera Muriks.;Звать/Приглашать;To call/Invite;Çağırmaq/Dəvət etmək
Käskima;(kellel? +) da-ifinitiiv;Ema käskis lastel tuba koristada.;Приказывать;To order/Command;Əmr etmək
Küsima;1) kellelt? + objekt 2) kelle järele? / keda? 3) kelle mille kohta? + objekt;1) Laps küsis emalt õuna. 2) Üks mees küsis sinu järele / sind. 3) Küsisin uue filmi kohta infot.;Спрашивать/Просить;To ask/Request;Soruşmaq/Xahiş etmək
Laenama;1) kellele? + objekt 2) kellelt? + objekt 3) milleks? + objekt;1) Laenasin sõbrale raha. 2) Laenasin pinginaabrilt raamatut. 3) Laenasin raha raamatu ostmiseks.;Давать/Брать взаймы;To lend/Borrow;Borc vermək/götürmək
Leppima;kellega? millega?;Mart leppis olukorraga.;Мириться/Соглашаться;To reconcile/Agree;Barışmaq/Razılaşmaq
Loobuma;millest?;Raske oli reisist loobuda.;Отказываться;To give up/Renounce;İmtina etmək
Lootma;1) kellele? kelle peale? 2) millele? mille peale? 3) da-infinitiiv;1) Kas ma võin sinule / sinu peale loota? 2) Ära looda juhusele / juhuse peale. 3) Loodan siia tagasi tulla.;Надеяться;To hope/Rely;Ümid etmək/Güvənmək
